id,title,url,is_paid,price,duration,level,subject,source
0,Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,TRUE,200,1.5,All Levels,Business Finance,Udemy
1,Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,TRUE,75,39,All Levels,Business Finance,Udemy
2,Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,TRUE,45,2.5,Intermediate,Business Finance,Udemy
3,Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,TRUE,95,3,All Levels,Business Finance,Udemy
4,How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,TRUE,200,2,Intermediate,Business Finance,Udemy
5,Trading Penny Stocks: A Guide for All Levels In 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,TRUE,150,3,All Levels,Business Finance,Udemy
6,Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,TRUE,65,1,Beginner,Business Finance,Udemy
7,"Trading Stock Chart Patterns For Immediate, Explosive Gains",https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,TRUE,95,2.5,All Levels,Business Finance,Udemy
8,Options Trading 3 : Advanced Stock Profit and Success Method,https://www.udemy.com/day-trading-stock-options-3/,TRUE,195,2.5,Advanced,Business Finance,Udemy
9,The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,TRUE,200,1,All Levels,Business Finance,Udemy
10,Forex Trading Secrets of the Pros With Amazon's AWS,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,TRUE,200,5,All Levels,Business Finance,Udemy
11,Trading Options With Money Flow,https://www.udemy.com/trading-options-using-money-flow/,TRUE,200,1,All Levels,Business Finance,Udemy
